"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 27 11:47:33 UTC 2026","Tue Jan 27 11:47:39 UTC 2026","6116","","Search flights flow","","Average user searches for invalid flight","","Average user searches for invalid flight",""
"passed","Tue Jan 27 11:47:20 UTC 2026","Tue Jan 27 11:47:21 UTC 2026","1355","","Search flights flow","","User redirects to homepage on clicking MarsAir logo","","User redirects to homepage on clicking MarsAir logo",""
"passed","Tue Jan 27 11:47:10 UTC 2026","Tue Jan 27 11:47:11 UTC 2026","841","","Search flights flow","","Average user searches for valid flight that is fully booked","","Average user searches for valid flight that is fully booked",""
"failed","Tue Jan 27 11:47:27 UTC 2026","Tue Jan 27 11:47:33 UTC 2026","6038","","Search flights flow","","Average user searches for invalid flight","","Average user searches for invalid flight",""
"passed","Tue Jan 27 11:47:22 UTC 2026","Tue Jan 27 11:47:24 UTC 2026","1355","","Search flights flow","","User redirects to homepage on clicking back button for search results","","User redirects to homepage on clicking back button for search results",""
"passed","Tue Jan 27 11:47:21 UTC 2026","Tue Jan 27 11:47:22 UTC 2026","1379","","Search flights flow","","User redirects to homepage on clicking MarsAir logo","","User redirects to homepage on clicking MarsAir logo",""
"passed","Tue Jan 27 11:47:17 UTC 2026","Tue Jan 27 11:47:18 UTC 2026","885","","Search flights flow","","User enters an invalid promo code","","User enters an invalid promo code",""
"failed","Tue Jan 27 11:47:11 UTC 2026","Tue Jan 27 11:47:17 UTC 2026","6211","","Search flights flow","","User enters a valid promo code","","User enters a valid promo code",""
"passed","Tue Jan 27 11:47:24 UTC 2026","Tue Jan 27 11:47:25 UTC 2026","1279","","Search flights flow","","User redirects to homepage on clicking back button for search results","","User redirects to homepage on clicking back button for search results",""
"passed","Tue Jan 27 11:47:25 UTC 2026","Tue Jan 27 11:47:26 UTC 2026","1287","","Search flights flow","","User redirects to homepage on clicking back button for search results","","User redirects to homepage on clicking back button for search results",""
"passed","Tue Jan 27 11:47:18 UTC 2026","Tue Jan 27 11:47:20 UTC 2026","1312","","Search flights flow","","User redirects to homepage on clicking MarsAir logo","","User redirects to homepage on clicking MarsAir logo",""
"passed","Tue Jan 27 11:47:09 UTC 2026","Tue Jan 27 11:47:10 UTC 2026","983","","Search flights flow","","Average user searches for valid flight","","Average user searches for valid flight",""
"passed","Tue Jan 27 11:47:26 UTC 2026","Tue Jan 27 11:47:27 UTC 2026","894","","Search flights flow","","Average user searches for invalid flight","","Average user searches for invalid flight",""
